(Jan 24 2018 19:52:06,   90863 sec) LogNmeaSentences()   $GPGSV,3,2,11,13,04,166,41,15,05,196,45,19,11,066,40,20,20,196,41*73
(Jan 24 2018 19:52:07,   90864 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,41,232,48,25,20,327,44,29,12,296,44*43
(Jan 24 2018 19:52:14,   90871 sec) LogNmeaSentences()   $GPRMC,195200,A,1544.1555,N,06426.7254,E,001.0,174.4,240118,000.6,W*66
(Jan 24 2018 19:52:15,   90871 sec) LogNmeaSentences()   $GPGGA,195200,1544.1555,N,06426.7254,E,1,10,0.8,-0.4,M,-62.7,M,,*41
(Jan 24 2018 19:52:15,   90872 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,,15,19,20,24,25,29,,1.1,0.8,0.8*34
(Jan 24 2018 19:52:16,   90873 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,51,012,44,05,52,136,48,06,19,033,35,12,56,349,48*7E
(Jan 24 2018 19:52:16,   90873 sec) LogNmeaSentences()   $GPGSV,3,2,11,13,04,166,36,15,05,196,37,19,11,066,42,20,20,196,40*75
(Jan 24 2018 19:52:17,   90874 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,41,232,46,25,20,327,37,29,12,296,43*4E
(Jan 24 2018 19:52:17,   90874 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 4.00,,,,,,,,*73
(Jan 24 2018 19:52:18,   90875 sec) GpsServices()        GPS services complete.
(Jan 24 2018 19:52:43,   90900 sec) CLogin()             Connecting to primary host.
(Jan 24 2018 19:53:01,   90918 sec) CLogin()             Connection 23 established in 18 seconds.
(Jan 24 2018 19:53:31,   90947 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:53:31,   90948 sec) login()              Login prompt not received.
(Jan 24 2018 19:54:01,   90977 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:54:01,   90978 sec) login()              Login prompt not received.
(Jan 24 2018 19:54:18,   90995 sec) CLogin()             Connection 24 established in 95 seconds.
(Jan 24 2018 19:54:48,   91024 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:54:48,   91025 sec) login()              Login prompt not received.
(Jan 24 2018 19:55:18,   91054 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:55:18,   91055 sec) login()              Login prompt not received.
(Jan 24 2018 19:55:18,   91055 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Jan 24 2018 19:56:08,   91105 sec) CLogin()             Connection 25 established in 205 seconds.
(Jan 24 2018 19:56:38,   91134 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:56:38,   91135 sec) login()              Login prompt not received.
(Jan 24 2018 19:57:08,   91164 sec) expect()             Attempt to read prompt string [login:] failed.
(Jan 24 2018 19:57:08,   91165 sec) login()              Login prompt not received.
(Jan 24 2018 19:57:14,   91170 sec) chat()               Expected string [OK] not received.
(Jan 24 2018 19:57:14,   91171 sec) modem_restore_facto  Modem command [AT&F0] failed.
