(Oct 14 2017 15:28:27,  849449 sec) LogNmeaSentences()   $GPGSV,3,3,12,26,62,038,50,27,24,156,43,31,22,032,43,32,24,099,44*71
(Oct 14 2017 15:28:28,  849449 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Oct 14 2017 15:28:36,  849457 sec) LogNmeaSentences()   $GPRMC,152810,A,1211.0247,N,08708.8518,E,001.6,066.9,141017,001.4,W*63
(Oct 14 2017 15:28:36,  849457 sec) LogNmeaSentences()   $GPGGA,152810,1211.0247,N,08708.8518,E,1,11,0.9,-3.4,M,-75.7,M,,*47
(Oct 14 2017 15:28:36,  849458 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,08,,11,14,16,22,23,26,27,31,1.2,0.9,0.8*3A
(Oct 14 2017 15:28:37,  849458 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,16,242,42,03,42,310,47,08,11,188,37,10,03,150,38*78
(Oct 14 2017 15:28:37,  849458 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,06,224,37,14,33,080,43,16,82,164,42,22,60,286,47*76
(Oct 14 2017 15:28:37,  849459 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,12,321,43,26,62,038,48,27,24,156,39,31,21,032,44*73
(Oct 14 2017 15:28:46,  849467 sec) LogNmeaSentences()   $GPRMC,152820,A,1211.0224,N,08708.8544,E,001.6,142.3,141017,001.4,W*61
(Oct 14 2017 15:28:46,  849467 sec) LogNmeaSentences()   $GPGGA,152820,1211.0224,N,08708.8544,E,1,11,0.9,-3.7,M,-75.7,M,,*4B
(Oct 14 2017 15:28:46,  849468 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,,11,14,16,22,23,26,27,31,32,1.2,0.9,0.8*33
(Oct 14 2017 15:28:47,  849468 sec) GpsServices()        GPS services complete.
(Oct 14 2017 15:29:11,  849493 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 15:29:23,  849505 sec) CLogin()             Connection 9 established in 12 seconds.
(Oct 14 2017 15:29:54,  849535 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:29:54,  849535 sec) login()              Login prompt not received.
(Oct 14 2017 15:30:24,  849565 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:30:24,  849565 sec) login()              Login prompt not received.
(Oct 14 2017 15:30:24,  849565 sec) login()              No carrier detected.
(Oct 14 2017 15:30:24,  849565 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 15:30:24,  849565 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Oct 14 2017 15:30:29,  849571 sec) CLogin()             Connecting to primary host.
(Oct 14 2017 15:30:40,  849582 sec) CLogin()             Connection 10 established in 11 seconds.
(Oct 14 2017 15:31:10,  849611 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:31:10,  849611 sec) login()              Login prompt not received.
(Oct 14 2017 15:31:40,  849641 sec) expect()             Attempt to read prompt string [login:] failed.
(Oct 14 2017 15:31:40,  849641 sec) login()              Login prompt not received.
(Oct 14 2017 15:31:40,  849641 sec) login()              No carrier detected.
(Oct 14 2017 15:31:40,  849641 sec) CLogin()             Attempt to login to host failed.
(Oct 14 2017 15:31:40,  849641 sec) DownLoadMissionCfg() Connect/login failed.  Mission configuration not downloaded from remote host.
(Oct 14 2017 15:31:40,  849641 sec) DownLoadMissionCfg() Aborting download: Retry limit [2] exceeded.
